ticker,facility_id,facility_name,state,naics,share,co2e_t,parent_company
XOM,1004998,ConocoPhillips Alaska Inc - KRU CPF3,AK,211120,0.0253,337420.77999999997,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
XOM,1001800,BPXA FLOW STATION #2,AK,211111,0.364,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
XOM,1006416,BEAUMONT POLYETHYLENE PLANT,TX,325211,1.0,68633.68400000001,EXXON MOBIL CORP (100%)
XOM,1004148,XTO - Teague Townsite Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1006068,EXXONMOBIL OIL JOLIET REFINERY,IL,324110,1.0,45056313.874535106,EXXON MOBIL CORP (100%)
XOM,1005315,XTO - Walsh Ranch West,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1009142,XTO Energy Inc 580 San Juan,NM,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1007542,EXXONMOBIL Bt Site,TX,324110,1.0,94894787.7906668,EXXON MOBIL CORP (100%)
XOM,1005391,XTO - Farrar Plant,TX,211130,1.0,35371.458,EXXON MOBIL CORP (100%)
XOM,1009390,XTO Energy Inc 430 Permian,TX,211130,1.0,664642.61,EXXON MOBIL CORP (100%)
XOM,1004135,XTO - Bailey Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1013949,XTO - Boyscout Boardwalk,AR,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1009740,XTO Means Field CO2 Injection,TX,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1005789,ConocoPhillips Alaska Inc - KRU CPF1,AK,211120,0.0253,492806.81799999997,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
XOM,1002150,Shute Creek Facility,WY,211130,1.0,3590625.8359999997,EXXON MOBIL CORP (100%)
XOM,1003267,Hoover Diana Platform (AC25-HA),TX,211130,0.6667000000000001,86192.46800000001,EXXON MOBIL CORP (66.67%); ANADARKO US OFFSHORE LLC (33.33%)
XOM,1012560,XTO Energy Inc 160A Appalachian E Overthrust  GB,PA,211130,1.0,156469.836,EXXON MOBIL CORP (100%)
XOM,1008116,XTO Energy Inc 160A Appalachian E Overthrust,PA,211130,1.0,33114.85,EXXON MOBIL CORP (100%)
XOM,1013844,PHP Praha Compressor Station,TX,486210,0.1999,129426.718,APA CORP (26.67%); EAGLECLAW MIDSTREAM SERVICES LLC (26.67%); KINDER MORGAN INC (26.67%); EXXON MOBIL CORP (19.99%)
XOM,1007410,Tebone Fractionator,LA,211130,0.0304,,ENTERPRISE PRODUCTS PARTNERS LP (64.19%); DCP MIDSTREAM LP (6.9%); W&T OFFSHORE INC (5.17%); TARGA RESOURCES CORP (4.75%); EXXON MOBIL CORP (3.04%); LEED PETROLEUM LLC (2.56%); APACHE CORP (2.25%); GRIZZLY ENERGY LLC (1.67%); ARENA ENERGY LP (1.34%); ENI PETROLEUM CO INC (1.23%); UNION EXPLORATION PARTNERS LTD (1.12%)
XOM,1005749,XTO-Tyrone Gas Plant,OK,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1005001,ConocoPhillips Alaska Inc - KRU STP,AK,211120,0.0253,77506.66,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
XOM,1003128,Terrell Gas Plant,TX,211120,0.23,61563.136,OCCIDENTAL PETROLEUM CORP (54%); EXXON MOBIL CORP (23%); ZPZ DELAWARE I LLC (23%)
XOM,1006270,XTO - Cotton Valley Gas Plant,LA,211130,1.0,221340.406,EXXON MOBIL CORP (100%)
XOM,1008952,Anadarko Basin - 360,TX,211111,1.0,,EXXONMOBIL CORP (100%);
XOM,1005317,XTO - Oliver Station,AR,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1002155,Aera Energy Ventura,CA,211111,0.48200000000000004,,EXXONMOBIL CORP (48.2%);SHELL OIL CO (51.8%);
XOM,1010908,XTO - Cook Compressor Station,OK,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1010907,XTO - Berwyn Compressor Station,OK,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1002688,OXY USA - SHEEP MTN CO2 FACILITY,CO,211120,0.5,233829.0,EXXON MOBIL CORP (50%); OCCIDENTAL PETROLEUM CORP (50%)
XOM,1010458,ExxonMobil Chemical Company,TX,325110,1.0,453694.49,EXXON MOBIL CORP (100%)
XOM,1008616,XTO Energy Inc 350 South Oklahoma Folded Belt,OK,211130,1.0,242106.756,EXXON MOBIL CORP (100%)
XOM,1008954,Green River Basin - 535,TX,211130,1.0,6930.5,EXXON MOBIL CORP (100%)
XOM,1008275,XTO Energy Inc 395 Williston,ND,211130,1.0,533986.0700000001,EXXON MOBIL CORP (100%)
XOM,1010459,Exxon Mobil Corporation,TX,324110,1.0,51889010.6346794,EXXON MOBIL CORP (100%)
XOM,1009739,XTO Cornell Mahoney Field CO2 Injection,TX,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1005357,XTO - TRWD Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1004422,ConocoPhillips Alaska Inc - KRU CPF2,AK,211120,0.0253,293507.848,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
XOM,1009751,XTO Cordona Lake Field CO2 Injection,TX,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1001805,SEA ROBIN GAS PROCESSING PLANT,LA,211130,0.1052,3823.536,EL PASO CORP (6.03%); APA CORP (4.2%); HESS CORP (24.41%); LOUIS DREYFUS CO NORTH AMERICA LLC (19.53%); DEVON ENERGY CORP (17.98%); ENTERPRISE PRODUCTS PARTNERS LP (15.54%); EXXON MOBIL CORP (10.52%)
XOM,1005757,XTO-Piney Creek Compressor Station,AR,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1011831,Point Thomson Production Facility,AK,211130,0.6236999999999999,,EXXON MOBIL CORP (62.37%); HILCORP ALASKA LLC (36.99%)
XOM,1004727,Toca Gas Processing Plant,LA,211130,0.0852,,EXXON MOBIL CORP (8.52%); ENTERPRISE PRODUCTS PARTNERS LP (64.52%); APACHE CORP (12.31%); TARGA RESOURCES CORP (10.2875%); HILCORP ENERGY CO (1.39%); NOBLE ENERGY INC (1.275%); DCP MIDSTREAM LP (1.13%)
XOM,1008079,XTO Energy Inc 260 East Texas,TX,211130,1.0,311004.322,EXXON MOBIL CORP (100%)
XOM,1012539,XTO Energy Inc 360 Anadarko  GB,OK,211130,1.0,12755.99,EXXON MOBIL CORP (100%)
XOM,1003677,Green Canyon 205 A,LA,211120,0.403787,,CHEVRON CORP (59.6213%); EXXON MOBIL CORP (40.3787%)
XOM,1002686,Bravo Dome,NM,211120,0.02,2521682.0,OCCIDENTAL PETROLEUM CORP (77%); EXXON MOBIL CORP (2%); KINDER MORGAN INC (11%); HESS CORP (10%)
XOM,1010914,XTO - Hattieville Compressor Station,AR,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1009082,XTO Energy Inc 230 Arkla,TX,211130,1.0,102459.024,EXXON MOBIL CORP (100%)
XOM,1009392,XTO Energy Inc 345 Arkoma,OK,211130,1.0,27229.15,EXXON MOBIL CORP (100%)
XOM,1012541,XTO Energy Inc 430 Permian  GB,TX,211130,1.0,2304658.018,EXXON MOBIL CORP (100%)
XOM,1013825,"Transmission Pipeline Facility, Permian Highway Pipeline, LLC",TX,486210,0.2,65319.05,APA CORP (26.67%); EAGLECLAW MIDSTREAM SERVICES LLC (26.67%); KINDER MORGAN INC (26.67%); EXXON MOBIL CORP (20%)
XOM,1004146,XTO - Risinger Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1014575,Exxon Mobil Corporation-Baton Rouge Resin Finishing Plant,LA,325211,1.0,24493.208,EXXON MOBIL CORP (100%)
XOM,1008949,Gulf Coast Basin - 220,TX,211111,1.0,,EXXON MOBIL CORP (100%)
XOM,1013012,GA209 Platform,TX,211130,1.0,,EXXONMOBIL CORP (100%)
XOM,1004139,XTO - Lillian Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1005401,XTO - HILL RANCH #1,CO,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1001873,BPXA GATHERING CENTER #1,AK,211111,0.364,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
XOM,1004144,XTO - New Teague Plant,TX,211130,1.0,42016.834,EXXON MOBIL CORP (100%)
XOM,1005402,XTO - Blalock Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1012595,XTO Energy Inc 260 East Texas  GB,TX,211130,1.0,428921.534,EXXON MOBIL CORP (100%)
XOM,1006720,XTO - Rendon Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1002384,Santa Ynez Unit (SYU),CA,211120,1.0,,EXXON MOBIL CORP (100%)
XOM,1009387,XTO Energy Inc 415 Strawn,TX,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1005031,Port Allen Complex,LA,211130,0.16870000000000002,2451468.8380000005,ENTERPRISE PRODUCTS PARTNERS LP (32.25%); THE WILLIAMS COS INC (31.45%); BP AMERICA INC (19.43%); EXXON MOBIL CORP (16.87%)
XOM,1012577,XTO Energy Inc 575 Uintah  GB,NM,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1012530,XTO Energy Inc 230 Arkla  GB,TX,211130,1.0,37855.296,EXXON MOBIL CORP (100%)
XOM,1005071,North Terrebonne Gas Plant,LA,211130,0.0304,,ENTERPRISE PRODUCTS PARTNERS LP (64.19%); DCP MIDSTREAM LP (6.9%); W&T OFFSHORE INC (5.17%); TARGA RESOURCES CORP (4.75%); EXXON MOBIL CORP (3.04%); LEED PETROLEUM LLC (2.56%); APACHE CORP (2.25%); GRIZZLY ENERGY LLC (1.67%); ARENA ENERGY LP (1.34%); ENI PETROLEUM CO INC (1.23%); UNION EXPLORATION PARTNERS LTD (1.12%)
XOM,1009143,XTO Energy Inc 360 Anadarko,OK,211130,1.0,65372.298,EXXON MOBIL CORP (100%)
XOM,1002673,XTO - PICEANCE CREEK,CO,211111,1.0,,EXXON MOBIL CORP (100%)
XOM,1011425,Walker Ridge 718 (JSM),LA,211120,0.1075,194726.364,TOTAL HOLDINGS USA INC (5%); CHEVRON CORP (40.6%); EQUINOR US HOLDINGS INC (27.9%); MURPHY OIL CORP (15%); EXXON MOBIL CORP (10.75%)
XOM,1012459,ExxonMobil 535 Green River GB (LaBArge Gathering & Boosting),WY,211130,1.0,56013.086,EXXON MOBIL CORP (100%)
XOM,1004143,XTO - Castle Valley,UT,211130,1.0,,EXXONMOBIL CORP (100%)
XOM,1010911,XTO - Pettijohn Compressor Station,OK,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1006548,XTO - Teague SW & SR Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1010719,Mobile Bay - 823 A,AL,211130,0.625,,EXXONMOBIL CORP (62.5%); CHEVRON CORP (25%); W&T OFFSHORE INC (12.5%)
XOM,1004196,CALUMET GAS PLANT,LA,211111,0.14828,,"TARGA RESOURCES INC (32.41%);Black Elk Energy Offshore Operations, LLC (2.031%);DCP MIDSTREAM, LP (0.531%);Fuels Acquisition Company (2.45%);W & T Offshore, INC (0.974%);Exxon Mobil Production Company (14.828%);APACHE CORP (6.55%);Enterprise Gas Processing, LLC (35.4%);Hunt Oil Company (4.83%);"
XOM,1014800,"PHP Lockhart Compressor Station, TX",TX,486210,0.1999,37575.420000000006,APA CORP (26.67%); EAGLECLAW MIDSTREAM SERVICES LLC (26.67%); KINDER MORGAN INC (26.67%); EXXON MOBIL CORP (19.99%)
XOM,1011767,Wasson San Andres Field,TX,211120,0.1557,3669743.0,OCCIDENTAL PETROLEUM CORP (53.03%); CHEVRON CORP (15.7%); CONOCOPHILLIPS (15.7%); EXXON MOBIL CORP (15.57%)
XOM,1009752,XTO GSAU Field CO2 Injection,TX,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1002508,Mary Ann - 823,AL,211111,1.0,,EXXONMOBIL CORP (100%);
XOM,1009141,XTO Energy Inc 595 Piceance,NM,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1001872,BPXA FLOW STATION #3,AK,211111,0.364,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
XOM,1006592,XTO - Fat Boy Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1003555,"Thunder Horse, MMS Platform ID 02481, Complex ID 1101-1",LA,211120,0.25,251340.33,BP AMERICA INC (75%); EXXON MOBIL CORP (25%)
XOM,1002447,North Hobbs Reinjection Compression Facility (RCF) and West Injection Battery (WIB),NM,211120,0.14,21862.022,OCCIDENTAL PETROLEUM CORP (57.3%); MARATHON PETROLEUM CORP (4%); CHEVRON CORP (21%); LEGACY RESERVES INC (2%); EXXON MOBIL CORP (14%); LANDRETH CO STOCKHOLDERS (1%)
XOM,1009386,XTO Energy Inc 220 Gulf Coast,TX,211130,1.0,120835.332,EXXON MOBIL CORP (100%)
XOM,1006677,XTO-Johnson Ranch Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1013840,PHP Coyanosa Compressor Station,TX,486210,0.1999,178179.53399999999,APA CORP (26.67%); EAGLECLAW MIDSTREAM SERVICES LLC (26.67%); KINDER MORGAN INC (26.67%); EXXON MOBIL CORP (19.99%)
XOM,1012559,XTO Energy Inc 345 Arkoma  GB,OK,211130,1.0,29895.183999999997,EXXON MOBIL CORP (100%)
CVX,1001874,BPXA GATHERING CENTER #2,AK,211111,0.012,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
CVX,1009286,PDC Energy 540 Denver Basin,CO,211130,1.0,591579.4600000001,CHEVRON CORP (100%)
CVX,1006074,Green Canyon 641,LA,211120,0.58,102434.092,CHEVRON CORP (58%); EQUINOR US HOLDINGS INC (25%); TOTAL HOLDINGS USA INC (17%)
CVX,1013690,Mobile 823 A,AL,211120,0.25,20516.811999999998,W&T OFFSHORE INC (75%); CHEVRON CORP (25%)
CVX,1009239,Chevron MCA 260 East Texas Basin,CA,211130,1.0,44348.856,CHEVRON CORP (100%)
CVX,1010084,Rosetta Resources 220 Gulf Coast Basin,TX,211130,1.0,27523.559999999998,CHEVRON CORP (100%)
CVX,1001799,BPXA FLOW STATION #1,AK,211111,0.012,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
CVX,1001875,BPXA GATHERING CENTER #3,AK,211111,0.012,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
CVX,1009891,MC 194 A,LA,211120,0.139,31372.754,TALOS ENERGY INC (63.15%); APA CORP (21.78%); CHEVRON CORP (13.9%); W&T OFFSHORE INC (1.17%)
CVX,1005858,DENVER UNIT CO 2 RECOVERY PLANT,TX,211120,0.17,99720.708,OCCIDENTAL PETROLEUM CORP (53%); CHEVRON CORP (17%); CONOCOPHILLIPS (14%); EXXON MOBIL CORP (12%); ARIEL EXPLORATION INC (1%); COTERRA ENERGY INC (1%); DEVON ENERGY CORP (1%); PENROC OIL CORP (1%)
CVX,1002868,NORTH CROSS COMP STATION 4,TX,211120,0.0605,33559.828,OCCIDENTAL PETROLEUM CORP (93.95%); CHEVRON CORP (6.05%)
CVX,1010534,Chevron MM Salt Lake City,UT,324110,1.0,11502167.7996904,CHEVRON CORP (100%)
CVX,1013221,Noble Midstream Services - Permian Basin 430,TX,486210,1.0,187744.934,CHEVRON CORP (100%)
CVX,1010406,Dollarhide CO2 Flood,TX,211130,0.5154,,CHEVRON CORP (51.54%); PERMIAN BASIN LP (48.2%)
CVX,1003610,CHEVRON PRODS.CO. RICHMOND REFY,CA,324110,1.0,4366328.767999999,CHEVRON CORP (100%)
CVX,1009053,Chevron MCA 530 Wind River Basin,CA,211111,1.0,,CHEVRON CORP (100%)
CVX,1013222,"Noble Energy, Inc. - Permian Basin 430",TX,211130,1.0,105813.53,CHEVRON CORP (100%)
CVX,1010518,Chevron MM Pascagoula,MS,324110,1.0,49164284.02,CHEVRON CORP (100%)
CVX,1003991,Chevron Phillips Chemical Company LP Cedar Bayou Plant,TX,325110,0.5,2103735.4979999997,CHEVRON CORP (50%); PHILLIPS 66 (50%)
CVX,1004046,Coalinga,CA,211111,1.0,,CHEVRON CORP (100%)
CVX,1005022,Bunge Chevron Ag Renewables LLC,LA,311224,1.0,43635.336,BUNGE CHEVRON AG RENEWABLES LLC (100%)
CVX,1007978,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",CA,324110,1.0,3282659.9940000004,CHEVRON CORP (100%)
CVX,1008102,Chevron MCA 350 South Oklahoma Folded Belt,CA,211111,1.0,,CHEVRON CORP (100%)
CVX,1004998,ConocoPhillips Alaska Inc - KRU CPF3,AK,211120,0.0495,337420.77999999997,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
CVX,1001800,BPXA FLOW STATION #2,AK,211111,0.012,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
CVX,1009241,Chevron MCA 595 Piceance Basin,CA,211111,1.0,,CHEVRON CORP (100%)
CVX,1006189,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,UT,324110,1.0,491480.39400000003,CHEVRON CORP (100%)
CVX,1002345,Viosca Knoll 786 A,LA,211120,0.5,88503.45999999999,CHEVRON CORP (50%); TALOS ENERGY INC (50%)
CVX,1004001,Kern River Cogeneration Facility,CA,221112,1.0,128287.868,CHEVRON CORP (100%)
CVX,1007204,Coalinga Cogeneration Facility,CA,221112,1.0,,CHEVRON CORP (100%)
CVX,1002146,"CHEVRON PHILLIPS CHEMICAL COMPANY, LP PORT ARTHUR PLANT",TX,325110,0.5,861803.1359999999,CHEVRON CORP (50%); PHILLIPS 66 (50%)
CVX,1012311,Chevron MCA 595 Piceance Basin Gathering and Boosting,CA,211130,1.0,21501.682,CHEVRON CORP (100%)
CVX,1012143,San Joaquin Basin Gathering & Boosting - Chevron USA Inc.,CA,211120,1.0,1345810.438,CHEVRON CORP (100%)
CVX,1003998,SYCAMORE COGENERATION Facility,CA,221112,1.0,374323.344,CHEVRON CORP (100%)
CVX,1007425,CHEVRON PHILLIPS CHEMICAL CO LP,TX,325199,0.5,,CHEVRON CORP (50%); PHILLIPS 66 (50%)
CVX,1005789,ConocoPhillips Alaska Inc - KRU CPF1,AK,211120,0.0495,492806.81799999997,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
CVX,1009240,Chevron MCA 430 Permian Basin,CA,211130,1.0,340254.14999999997,CHEVRON CORP (100%)
CVX,1008270,Basin 540 Denver Julesburg - Noble Energy Inc.,TX,211130,1.0,322405.882,CHEVRON CORP (100%)
CVX,1012257,Chevron MCA 260 East Texas Basin Gathering and Boosting,CA,211130,1.0,9909.032000000001,CHEVRON CORP (100%)
CVX,1012147,17Z Gas Plant - Chevron USA Inc.,CA,211130,1.0,,CHEVRON CORP (100%)
CVX,1005001,ConocoPhillips Alaska Inc - KRU STP,AK,211120,0.0495,77506.66,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
CVX,1004186,Kern River,CA,211111,1.0,,CHEVRON CORP (100%)
CVX,1008961,Chevron MCA 220 Gulf Coast Basin,CA,211111,1.0,,CHEVRON CORP (100%);
CVX,1010423,Mabee CO2 Flood,TX,211130,1.0,,CHEVRON CORP (100%)
CVX,1007995,CHEVRON OIL CO @ PERTH AMBOY REFINERY,NJ,324110,1.0,,Chevron Corporation (100%);
CVX,1004193,Midway Sunset,CA,211111,1.0,,CHEVRON CORP (100%)
CVX,1010516,Chevron MM Import/Export,CA,324110,1.0,32801440.2621513,CHEVRON CORP (100%)
CVX,1008956,Chevron MCA 360 Anadarko Basin,CA,211130,1.0,,CHEVRON CORP (100%)
CVX,1006967,CHEVRON PHILLIPS - SWEENY COMPLEX,TX,325110,0.5,1002445.798,CHEVRON CORP (50%); PHILLIPS 66 (50%)
CVX,1004422,ConocoPhillips Alaska Inc - KRU CPF2,AK,211120,0.0495,293507.848,CONOCOPHILLIPS (92.52%); CHEVRON CORP (4.95%); EXXON MOBIL CORP (2.53%)
CVX,1010517,Chevron MM Richmond,CA,324110,1.0,34857171.6564786,CHEVRON CORP (100%)
CVX,1000507,Salinas River Cogeneration Facility,CA,221112,1.0,154020.97999999998,CHEVRON CORP (100%)
CVX,1003130,INDIAN BASIN GAS PLANT,NM,211120,0.021,,ENTERPRISE PRODUCTS PARTNERS LP (42.2%); OCCIDENTAL PETROLEUM CORP (39.1%); CHEVRON CORP (2.1%); NGL VENTURES LLC (16.6%)
CVX,1003774,"Mad Dog. MMS Platform ID 02481, Complex ID 1215-1",LA,211120,0.156,111687.898,BP AMERICA INC (60.5%); BHP MINERALS INTERNATIONAL LLC (23.9%); CHEVRON CORP (15.6%)
CVX,1005019,Bunge Chevron Ag Renewables LLC  Cairo Facility,IL,311224,1.0,50713.759999999995,BUNGE CHEVRON AG RENEWABLES LLC (100%)
CVX,1003677,Green Canyon 205 A,LA,211120,0.596213,,CHEVRON CORP (59.6213%); EXXON MOBIL CORP (40.3787%)
CVX,1005903,PASADENA REFINING SYSTEM,TX,324110,1.0,12665000.607428998,CHEVRON USA INC (100%)
CVX,1010533,Chevron MM El Segundo,CA,324110,1.0,36145445.0496245,CHEVRON CORP (100%)
CVX,1012826,Basin 540 Denver Julesburg  G&B,TX,486210,1.0,352164.398,CHEVRON CORP (100%)
CVX,1007955,Cymric,CA,211111,1.0,,CHEVRON CORP (100%)
CVX,1007656,South Pass 77 A,LA,211111,0.6667000000000001,,Chevron Corporation (66.67%);Energy XXI GOM LLC (33.33%);
